Name,ShortName
Atalanta,ATA
Bologna,BOL
Cagliari,CAG
Empoli,EMP
Fiorentina,FIO
Frosinone,FRO
Genoa,GEN
Inter,INT
Juventus,JUV
Lazio,LAZ
Lecce,LEC
Milan,MIL
Monza,MON
Napoli,NAP
Roma,ROM
Salernitana,SAL
Sassuolo,SAS
Torino,TOR
Udinese,UDI
Verona,VER
